"Data","Municipio","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate","Área","População","Densidade Demográfica","Taxa Geométrica de Crescimento Anual da População - 2010/2020","Grau de Urbanização","Índice de Envelhecimento","População com Menos de 15 Anos","População com 60 Anos e Mais","Razão de Sexos","Qtd_Leitos_UTI_Adulto","SUS","Qtd_Leitos_UTI_Pediatrica","SUS_Pediatrica"
"2020-03-16","São Bernardo do Campo",1,0,"False",838936,3548708,0.1192,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-16","São Caetano do Sul",1,0,"False",161127,3548807,0.62063,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-16","São Paulo",145,0,"False",12252023,3550308,1.18348,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-14","São Paulo",62,0,"False",12252023,3550308,0.50604,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-12","São Paulo",44,0,"False",12252023,3550308,0.35912,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-11","São Paulo",29,0,"False",12252023,3550308,0.2367,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-10","São Paulo",18,0,"False",12252023,3550308,0.14691,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-09","São Paulo",15,0,"False",12252023,3550308,0.12243,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-08","São Paulo",15,0,"False",12252023,3550308,0.12243,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-07","São Paulo",12,0,"False",12252023,3550308,0.09794,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-05","São Paulo",6,0,"False",12252023,3550308,0.04897,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-04","São Paulo",3,0,"False",12252023,3550308,0.02449,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-03","São Paulo",2,0,"False",12252023,3550308,0.01632,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-02","São Paulo",2,0,"False",12252023,3550308,0.01632,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-01","São Paulo",2,0,"False",12252023,3550308,0.01632,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-02-29","São Paulo",2,0,"False",12252023,3550308,0.01632,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-02-28","São Paulo",2,0,"False",12252023,3550308,0.01632,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-02-27","São Paulo",1,0,"False",12252023,3550308,0.00816,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-02-26","São Paulo",1,0,"False",12252023,3550308,0.00816,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-02-25","São Paulo",1,0,"False",12252023,3550308,0.00816,,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
