Date,Country,Lat,Long,Confirmed,Deaths,GDP_Nominal_per_capta,Province/State,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,recovered
2020-01-26,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,30,26,0
2020-01-27,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,26,28,0
2020-01-28,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,24,33,0
2020-01-29,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,24,28,0
2020-01-30,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,22,0
2020-01-31,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,19,0
2020-02-01,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,19,0
2020-02-02,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,23,0
2020-02-03,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,31,0
2020-02-04,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,31,0
2020-02-05,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,27,0
2020-02-06,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,23,28,0
2020-02-07,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,23,18,0
2020-02-08,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,16,0
2020-02-09,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,26,14,0
2020-02-10,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,14,0
2020-02-11,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,13,0
2020-02-12,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,16,0
2020-02-13,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,36,0
2020-02-14,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,18,0
2020-02-15,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,17,0
2020-02-16,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,18,0
2020-02-17,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,21,0
2020-02-18,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,25,0
2020-02-19,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,19,0
2020-02-20,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,19,0
2020-02-21,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,30,19,0
2020-02-22,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,18,0
2020-02-23,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,20,0
2020-02-24,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,26,26,0
