Data,Municipio,confirmados,Mortos,população,confirmado_100K,taxa_mortalidade,Área,População,dens_demog,tx_cresc_pop,grau_urb,ind_env,pop_menor_15,pop_60_mais,razao_sexo,Qtd_Leitos_UTI_Adulto,SUS_adulto,Qtd_Leitos_UTI_Pediatrica,SUS_Pediatrica
2020-04-01,Guarulhos,25,2,1379182,1.81267,0.08,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-01,São Bernardo do Campo,52,2,838936,6.19833,0.0385,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-01,São Caetano do Sul,32,1,161127,19.86011,0.0312,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-01,São Paulo,2418,144,12252023,19.73552,0.0596,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-31,Guarulhos,21,2,1379182,1.52264,0.0952,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-31,São Bernardo do Campo,44,1,838936,5.24474,0.0227,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-31,São Caetano do Sul,30,1,161127,18.61885,0.0333,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-31,São Paulo,1885,121,12252023,15.38521,0.0642,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-30,Guarulhos,14,2,1379182,1.01509,0.1429,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-30,São Bernardo do Campo,33,1,838936,3.93355,0.0303,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-30,São Caetano do Sul,27,0,161127,16.75697,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-30,São Paulo,1233,103,12252023,10.06364,0.0835,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-27,Guarulhos,13,2,1379182,0.94259,0.1538,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-27,São Bernardo do Campo,15,0,838936,1.78798,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-27,São Caetano do Sul,16,0,161127,9.93006,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-27,São Paulo,1044,62,12252023,8.52104,0.0594,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-26,Guarulhos,9,1,1379182,0.65256,0.1111,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-26,São Bernardo do Campo,13,0,838936,1.54958,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-26,São Caetano do Sul,17,0,161127,10.55068,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-26,São Paulo,899,53,12252023,7.33756,0.059,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-25,Guarulhos,5,1,1379182,0.36253,0.2,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-25,São Bernardo do Campo,13,0,838936,1.54958,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-25,São Caetano do Sul,16,0,161127,9.93006,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-25,São Paulo,722,44,12252023,5.8929,0.0609,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-20,Guarulhos,1,0,1379182,0.07251,,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-20,São Bernardo do Campo,4,0,838936,0.47679,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-20,São Caetano do Sul,4,0,161127,2.48251,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-20,São Paulo,306,9,12252023,2.49755,0.0294,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-19,Guarulhos,1,0,1379182,0.07251,,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-19,São Bernardo do Campo,3,0,838936,0.3576,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-19,São Caetano do Sul,1,0,161127,0.62063,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-19,São Paulo,259,5,12252023,2.11394,0.0193,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-18,Guarulhos,1,0,1379182,0.07251,,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-18,São Bernardo do Campo,3,0,838936,0.3576,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
